'F6ConvexWindow.ordered_actual_triples' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.earlier_exclusive_below' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.later_exclusive_above' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.successive_new_vertices' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.emptyTransitions_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.overlapping_prefix_crossPairs_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.disjoint_triples_matching' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.disjoint_triples_cross_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.prefix_pairCount_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.triple_union_counts' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.outsider_neighbors_le_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.all_pairs_le_union_outsiders' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.n15_large_triple_arithmetic' depends on axioms: [propext, Quot.sound]
'F6ConvexWindow.totalAntichains_le_46_of_six_triples' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.width2_of_A3_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'F6ConvexWindow.totalAntichains_le_48' depends on axioms: [propext, Classical.choice, Quot.sound]
